acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.004,0.019,9.801,-0.013,-0.0,-0.023
0.0,-0.0,9.803,0.002,0.011,-0.01
-0.008,0.015,9.806,0.008,0.001,-0.01
-0.002,0.012,9.813,-0.008,0.004,-0.007
-0.006,0.019,9.793,-0.001,-0.008,0.015
0.013,0.006,9.797,-0.003,-0.008,-0.002
-0.009,0.011,9.795,-0.02,0.001,-0.001
-0.013,-0.008,9.779,-0.004,-0.01,0.01
-0.018,-0.008,9.796,0.001,0.004,0.003
-0.01,-0.007,9.814,0.003,0.008,-0.018
-0.004,-0.006,9.783,0.001,0.003,-0.008
0.013,-0.0,9.794,0.01,-0.012,-0.007
-0.009,0.008,9.815,0.002,-0.015,0.001
0.01,-0.001,9.803,0.002,-0.006,0.002
0.011,0.022,9.808,-0.0,-0.009,-0.006
-0.01,-0.003,9.793,0.021,0.004,-0.019
-0.0,-0.01,9.365,0.009,-0.007,0.01
0.004,0.003,8.984,0.016,-0.006,-0.002
0.012,0.011,8.656,0.01,0.005,-0.002
-0.01,-0.001,8.446,0.016,-0.009,-0.001
0.009,-0.0,8.322,-0.015,-0.005,0.008
-0.007,-0.009,8.323,0.019,-0.013,-0.017
-0.005,-0.015,8.416,0.007,0.002,-0.005
-0.01,-0.003,8.657,0.005,-0.006,0.006
-0.001,0.002,8.991,0.009,-0.012,0.0
0.004,-0.004,9.37,0.005,-0.002,-0.008
0.004,-0.003,8.416,-0.001,-0.004,-0.008
-0.003,-0.014,10.127,0.004,0.003,-0.022
-0.021,0.006,10.452,0.02,-0.0,-0.016
0.007,-0.001,10.743,-0.01,0.007,0.006
0.014,0.006,10.973,0.012,-0.003,-0.006
-0.017,0.008,11.162,0.01,0.002,-0.003
-0.008,-0.01,11.267,-0.001,-0.007,0.002
-0.009,0.019,11.314,-0.007,0.002,-0.005
-0.004,0.009,11.256,0.012,-0.008,0.007
-0.0,0.029,11.15,-0.008,-0.007,-0.011
0.007,-0.022,10.957,0.019,0.005,0.009
-0.008,0.029,10.744,-0.01,-0.015,-0.004
-0.007,-0.003,10.446,-0.004,-0.002,-0.0
0.001,0.017,10.145,-0.03,0.003,-0.02
-0.012,0.005,9.799,-0.0,0.001,-0.007
-0.003,-0.003,9.79,-0.022,0.009,0.001
-0.001,0.008,9.811,-0.001,0.023,-0.023
0.017,0.007,9.807,0.001,-0.008,-0.001
0.001,0.002,9.804,-0.01,-0.02,-0.013
-0.001,0.009,9.798,0.017,-0.015,0.019
0.01,-0.012,9.802,0.012,0.001,-0.006
-0.029,-0.011,9.828,-0.005,0.007,-0.003
0.01,0.009,9.814,-0.023,-0.003,0.007
0.007,-0.003,9.797,0.003,0.011,-0.001
