acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.012,0.013,9.794,0.001,-0.003,-0.003
0.008,-0.013,9.812,-0.015,0.007,0.025
-0.02,-0.012,9.802,0.014,0.035,0.01
-0.008,0.022,9.787,-0.014,-0.002,-0.003
-0.006,0.006,9.806,0.015,-0.01,0.007
-0.005,-0.005,9.778,0.017,0.006,0.026
-0.008,-0.018,9.795,0.01,0.006,0.003
-0.008,-0.007,9.792,0.01,-0.012,0.004
0.009,0.008,9.799,0.004,-0.02,0.005
-0.008,0.008,9.801,-0.003,0.008,-0.003
0.004,0.003,9.787,-0.006,0.007,0.01
-0.004,0.008,9.799,-0.012,-0.027,0.014
0.021,-0.004,9.812,-0.024,0.0,-0.007
-0.013,0.013,9.468,0.003,0.007,0.02
-0.001,0.003,9.193,0.007,-0.006,-0.001
-0.022,-0.011,8.914,0.005,0.001,-0.003
-0.009,0.005,8.7,-0.02,-0.007,0.006
-0.006,-0.011,8.497,0.003,0.004,-0.008
-0.006,0.01,8.363,0.007,-0.026,0.018
0.004,-0.004,8.286,-0.004,-0.007,0.011
0.006,-0.004,8.308,-0.012,-0.019,0.013
0.012,0.012,8.375,0.006,-0.016,-0.005
-0.001,0.002,8.51,0.001,-0.002,0.001
-0.001,0.007,8.682,0.012,-0.001,0.001
0.007,-0.001,8.912,0.011,0.009,-0.002
-0.012,-0.004,9.196,-0.012,0.001,0.01
-0.005,0.02,9.499,-0.015,0.011,-0.007
0.002,0.002,8.632,0.022,-0.009,-0.014
0.002,0.007,10.058,-0.014,-0.0,-0.016
-0.014,0.015,10.304,-0.018,-0.022,0.015
0.017,0.017,10.561,-0.013,0.008,0.003
0.005,0.005,10.762,-0.002,-0.001,0.007
-0.007,-0.005,10.958,-0.002,0.011,0.006
-0.014,-0.01,11.096,-0.007,0.011,-0.01
-0.006,-0.006,11.202,-0.001,0.007,0.018
0.002,0.005,11.251,-0.007,0.006,-0.006
-0.021,0.012,11.315,-0.008,0.01,0.012
-0.002,-0.009,11.278,0.006,-0.001,-0.008
0.008,-0.009,11.21,-0.002,0.0,0.001
-0.009,0.026,11.085,-0.008,0.012,-0.011
0.002,0.008,10.952,0.002,0.018,-0.014
-0.004,-0.005,10.764,0.002,0.004,-0.003
0.006,0.012,10.57,-0.01,-0.005,0.004
0.01,-0.013,10.297,0.009,-0.014,0.006
0.01,-0.009,10.052,0.007,-0.003,0.003
-0.003,-0.002,9.815,0.008,-0.011,0.008
0.008,0.005,9.806,-0.015,-0.002,-0.001
0.001,0.011,9.795,0.008,0.015,0.003
0.005,-0.014,9.799,0.014,0.006,-0.001
-0.011,-0.01,9.788,0.002,-0.011,-0.012
