acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.007,-0.005,9.804,-0.013,-0.008,0.012
-0.0,0.009,9.804,-0.008,-0.002,-0.014
-0.006,-0.009,9.817,0.002,-0.001,-0.01
0.005,0.011,9.786,-0.003,-0.008,0.02
-0.013,-0.006,9.818,0.006,0.009,0.008
-0.017,-0.001,9.805,-0.017,-0.012,0.008
-0.002,0.007,9.789,0.014,0.01,0.007
0.01,0.037,9.808,0.009,0.02,-0.003
-0.005,0.003,9.809,0.023,-0.014,-0.001
-0.019,-0.01,9.796,0.011,-0.003,0.01
0.006,-0.004,9.798,-0.004,0.01,0.006
-0.02,0.0,9.788,0.011,0.004,0.015
0.01,-0.013,9.794,-0.003,-0.003,0.015
0.013,-0.001,9.791,0.001,-0.002,0.015
0.003,0.0,9.367,0.005,-0.004,-0.01
0.001,-0.004,9.001,-0.011,0.001,0.023
-0.003,-0.002,8.68,-0.023,0.012,0.005
0.004,0.012,8.433,-0.011,0.016,-0.004
0.007,-0.008,8.322,0.017,0.012,0.021
-0.005,0.009,8.333,-0.004,-0.007,0.002
0.004,-0.008,8.448,0.03,-0.002,-0.003
-0.001,0.01,8.65,-0.002,0.004,0.009
0.006,-0.005,8.981,0.001,0.001,0.006
-0.02,0.015,9.383,-0.001,-0.007,-0.011
-0.016,0.001,8.528,-0.002,0.001,-0.003
-0.03,-0.01,10.182,0.007,-0.002,0.007
0.005,-0.015,10.561,0.008,0.003,0.013
0.001,-0.021,10.863,-0.016,0.011,0.004
-0.015,0.008,11.092,-0.023,0.002,0.0
0.004,-0.003,11.233,0.003,0.006,0.004
0.008,-0.002,11.304,-0.009,0.001,0.013
-0.0,-0.004,11.247,-0.004,0.011,0.006
-0.01,-0.001,11.112,0.015,0.002,0.006
0.008,-0.017,10.87,0.006,0.016,0.005
-0.0,0.002,10.557,-0.023,-0.007,-0.01
0.003,-0.005,10.17,0.011,-0.011,0.009
0.02,-0.001,9.778,0.011,-0.006,-0.005
-0.007,0.001,9.813,-0.022,0.009,-0.011
0.012,0.009,9.806,-0.0,-0.005,-0.011
-0.001,0.016,9.812,-0.0,-0.0,-0.016
0.013,0.017,9.81,0.011,-0.003,0.014
-0.003,-0.02,9.795,-0.014,-0.017,-0.003
-0.014,0.016,9.792,-0.008,-0.017,-0.001
-0.009,0.001,9.817,-0.005,-0.007,0.005
-0.002,-0.016,9.808,0.017,-0.012,0.021
-0.007,0.015,9.794,0.011,-0.01,0.0
0.016,0.008,9.799,0.008,-0.004,0.011
-0.008,-0.017,9.796,-0.023,-0.0,-0.007
-0.003,-0.011,9.803,-0.011,0.002,0.016
0.004,0.005,9.806,-0.0,0.008,0.003
