acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.001,0.014,9.779,-0.012,0.005,0.013
0.003,0.015,9.803,-0.008,-0.022,-0.02
-0.002,0.014,9.8,-0.008,-0.018,0.02
-0.0,-0.004,9.807,-0.012,-0.0,-0.004
0.008,-0.002,9.797,-0.004,-0.001,0.002
0.007,0.001,9.811,0.002,0.024,-0.01
-0.008,0.01,9.808,0.003,-0.006,0.003
-0.001,-0.019,9.787,0.012,0.003,-0.007
0.008,0.006,9.801,-0.006,0.002,0.018
0.007,0.006,9.806,0.004,-0.02,-0.002
-0.008,0.0,9.812,-0.005,0.012,-0.007
-0.016,0.0,9.79,0.026,0.016,0.001
0.005,-0.01,9.815,-0.007,0.004,-0.006
0.014,-0.001,9.821,0.011,0.008,-0.003
-0.004,0.005,9.401,-0.002,0.002,-0.008
0.009,0.012,9.035,-0.005,-0.01,0.019
-0.008,0.011,8.75,-0.001,0.003,-0.002
0.006,0.005,8.498,-0.017,0.0,0.008
-0.019,-0.003,8.367,-0.007,0.003,-0.004
0.001,-0.007,8.316,-0.001,-0.008,-0.001
-0.001,0.002,8.346,-0.005,-0.012,-0.003
-0.01,0.002,8.504,-0.002,-0.0,0.011
-0.001,0.0,8.738,0.005,0.006,-0.01
-0.005,-0.001,9.062,-0.004,0.014,-0.002
-0.009,-0.02,9.423,0.002,0.01,-0.001
0.005,-0.003,8.472,-0.006,-0.003,0.001
-0.012,0.006,10.171,-0.017,-0.006,-0.003
0.007,-0.001,10.509,-0.005,0.003,-0.012
0.003,0.0,10.781,-0.011,0.001,-0.002
0.001,-0.011,11.036,0.008,-0.01,-0.003
-0.008,0.013,11.193,-0.005,0.015,0.006
0.0,0.001,11.301,0.003,0.016,-0.009
0.011,0.017,11.291,-0.01,-0.014,-0.011
0.016,0.014,11.202,-0.01,0.004,-0.007
-0.007,0.007,11.033,0.008,-0.004,-0.02
0.024,0.022,10.801,-0.001,-0.011,0.007
0.004,-0.001,10.506,-0.011,-0.013,0.005
-0.0,0.003,10.181,-0.007,-0.005,-0.004
0.003,0.017,9.824,0.019,-0.013,0.008
0.006,0.012,9.8,-0.014,-0.001,-0.001
-0.004,0.009,9.815,-0.006,-0.001,-0.004
0.004,0.024,9.799,0.005,-0.015,0.005
0.016,-0.005,9.785,0.008,0.004,0.001
0.015,0.022,9.802,-0.003,-0.0,0.005
0.009,-0.008,9.817,-0.006,-0.013,-0.0
-0.028,0.001,9.801,0.009,-0.007,-0.006
0.0,-0.014,9.813,-0.003,-0.012,-0.009
0.006,-0.001,9.805,-0.002,0.002,-0.006
-0.002,0.004,9.788,-0.002,-0.008,-0.007
-0.006,0.002,9.804,-0.01,-0.013,-0.0
