acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.014,-0.01,9.803,-0.001,0.002,0.0
0.0,-0.004,9.801,-0.003,-0.001,0.006
0.001,0.013,9.804,-0.003,-0.002,0.004
0.005,0.019,9.781,-0.002,-0.002,0.008
-0.016,0.005,9.811,-0.007,-0.011,-0.003
0.011,-0.009,9.803,-0.014,-0.017,-0.006
0.001,-0.01,9.806,0.005,-0.009,-0.0
-0.023,0.004,9.809,0.007,0.009,0.004
0.014,-0.013,9.792,-0.006,-0.017,-0.003
-0.001,-0.006,9.791,0.008,0.013,0.01
-0.009,-0.023,9.806,0.003,-0.013,-0.005
0.023,0.01,9.803,-0.002,-0.0,0.012
-0.018,-0.008,9.801,-0.005,-0.005,0.01
0.017,0.001,9.815,0.0,0.002,0.004
0.018,0.01,9.401,0.006,-0.012,-0.008
0.006,0.003,9.043,-0.01,0.002,0.011
-0.013,-0.01,8.733,-0.02,0.002,-0.009
-0.001,-0.004,8.505,0.008,0.006,-0.003
-0.008,0.006,8.345,-0.002,0.01,0.012
0.016,0.005,8.293,0.005,0.009,0.01
-0.01,0.01,8.355,-0.001,-0.001,-0.006
0.005,0.012,8.499,-0.001,0.004,0.016
-0.005,0.002,8.741,-0.003,0.005,0.003
-0.004,0.01,9.036,-0.004,0.007,0.003
-0.005,-0.011,9.422,0.0,-0.005,-0.007
-0.003,0.016,8.724,0.011,-0.02,-0.004
-0.003,-0.015,10.102,0.01,0.005,-0.016
-0.002,0.011,10.372,0.012,0.009,0.014
0.013,-0.009,10.649,-0.002,0.008,0.007
0.0,0.012,10.872,0.006,-0.009,-0.0
-0.013,-0.014,11.051,0.021,-0.002,-0.005
0.002,-0.017,11.176,-0.005,0.011,-0.001
0.001,-0.009,11.259,0.001,-0.015,-0.001
0.004,0.003,11.312,-0.014,-0.014,0.006
0.003,-0.009,11.255,0.008,-0.024,-0.013
0.014,-0.002,11.17,-0.002,0.002,-0.008
0.011,-0.011,11.054,0.004,-0.001,0.015
-0.0,0.005,10.849,-0.021,-0.004,-0.001
0.012,0.008,10.64,-0.006,-0.005,0.02
-0.01,0.004,10.371,0.008,-0.014,-0.006
-0.007,0.006,10.095,-0.008,0.001,0.006
-0.002,-0.003,9.809,0.002,-0.01,-0.004
0.009,-0.01,9.802,0.001,0.003,-0.005
0.006,0.015,9.821,-0.001,-0.003,0.012
0.0,-0.006,9.8,0.011,0.024,-0.012
-0.008,-0.004,9.795,0.011,0.009,-0.011
-0.002,-0.012,9.798,0.001,0.015,-0.011
0.002,0.008,9.788,-0.009,-0.017,0.015
0.001,0.006,9.8,0.001,0.0,0.006
0.017,-0.016,9.793,0.004,-0.001,0.006
