acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.013,0.011,9.793,-0.021,0.01,-0.008
-0.008,0.01,9.796,-0.002,-0.002,-0.016
-0.009,0.013,9.801,0.009,-0.001,-0.002
-0.019,-0.009,9.807,-0.004,-0.005,0.01
0.002,0.006,9.805,0.008,-0.006,0.007
-0.01,0.016,9.796,0.003,0.01,0.011
0.002,0.003,9.821,0.007,-0.014,-0.006
0.004,0.008,9.808,-0.006,-0.001,0.005
0.014,0.007,9.804,0.003,-0.021,0.023
0.015,-0.016,9.796,-0.01,0.002,-0.003
0.006,-0.011,9.808,0.016,-0.007,-0.003
0.006,-0.0,9.8,-0.003,0.006,-0.006
-0.001,0.003,9.512,-0.003,0.006,0.004
0.011,0.015,9.222,0.008,-0.005,0.006
0.008,0.003,8.949,0.008,0.006,-0.024
0.001,0.003,8.749,0.005,0.016,0.014
0.001,0.011,8.553,-0.012,-0.006,-0.005
-0.002,0.008,8.427,0.002,-0.009,0.007
-0.004,-0.007,8.317,-0.011,-0.01,0.012
0.014,-0.002,8.3,0.002,0.003,-0.008
0.005,0.009,8.344,-0.007,-0.005,0.002
0.008,0.012,8.416,-0.012,0.009,0.016
0.009,-0.008,8.557,0.013,0.003,-0.003
-0.004,0.011,8.73,-0.008,0.01,-0.009
0.008,0.008,8.982,0.008,-0.002,0.004
-0.006,-0.016,9.216,-0.002,-0.006,0.005
0.003,-0.008,9.506,0.018,-0.003,0.004
0.005,0.006,8.368,0.003,-0.007,-0.005
0.021,-0.021,10.039,0.007,0.009,-0.005
-0.009,-0.013,10.266,0.002,-0.005,-0.001
-0.012,-0.005,10.501,0.005,-0.012,0.014
0.015,0.011,10.684,0.005,0.004,-0.017
0.007,0.022,10.842,0.02,-0.004,-0.003
-0.013,0.004,11.0,0.023,0.028,-0.0
-0.002,-0.001,11.142,-0.007,0.004,0.001
-0.005,0.007,11.257,-0.013,-0.008,0.012
0.015,-0.006,11.278,-0.002,0.0,-0.016
0.028,-0.0,11.285,0.006,-0.01,0.007
0.004,-0.001,11.277,-0.007,0.006,0.008
0.0,-0.001,11.231,-0.008,-0.011,-0.021
-0.003,-0.007,11.143,0.009,0.006,-0.003
-0.005,0.011,11.012,-0.011,-0.012,-0.001
-0.003,-0.005,10.856,-0.005,-0.002,0.012
0.002,0.009,10.669,0.01,0.002,0.007
0.003,0.002,10.468,-0.009,0.007,0.009
0.005,-0.005,10.255,-0.003,0.02,0.022
-0.006,0.009,10.039,0.011,-0.001,-0.001
0.021,-0.013,9.793,0.003,-0.003,0.004
0.008,-0.009,9.785,-0.02,0.017,0.002
-0.004,-0.016,9.795,0.02,-0.007,0.007
