acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.017,0.001,9.797,-0.009,-0.009,-0.006
0.011,-0.01,9.804,0.004,-0.022,-0.006
-0.001,-0.018,9.796,-0.008,0.005,0.014
-0.007,-0.004,9.8,-0.0,0.021,0.004
0.002,-0.019,9.804,-0.008,0.021,-0.001
0.008,0.014,9.79,-0.007,0.016,-0.002
0.015,-0.002,9.8,-0.008,-0.001,-0.007
-0.026,0.006,9.791,-0.008,0.017,0.014
0.001,-0.009,9.831,0.008,-0.015,0.0
-0.009,-0.017,9.803,-0.002,-0.008,-0.008
-0.004,0.002,9.799,-0.006,-0.004,-0.003
0.01,-0.01,9.541,-0.009,0.002,0.012
0.008,0.006,9.286,-0.0,0.018,-0.006
-0.007,0.006,9.055,-0.004,0.012,-0.0
0.015,0.003,8.842,-0.007,-0.01,-0.008
-0.002,-0.014,8.656,-0.006,0.016,-0.004
-0.008,-0.023,8.496,-0.008,-0.001,0.008
0.024,-0.016,8.4,-0.005,-0.009,0.008
0.012,0.018,8.336,-0.0,-0.007,-0.004
0.009,-0.004,8.302,-0.014,-0.001,-0.015
0.002,0.016,8.313,0.018,-0.011,0.019
-0.009,0.013,8.391,0.007,-0.006,0.0
-0.024,-0.009,8.515,0.008,-0.005,-0.017
0.002,-0.0,8.649,-0.019,0.003,-0.01
-0.003,-0.012,8.855,0.005,-0.001,0.005
-0.007,-0.008,9.064,0.012,-0.012,-0.009
0.002,-0.009,9.293,-0.004,0.004,-0.001
0.007,-0.013,9.551,0.008,-0.016,-0.006
0.001,0.004,8.687,-0.01,0.017,-0.011
0.013,0.013,10.125,-0.002,0.004,0.001
0.011,-0.012,10.393,0.009,-0.008,-0.008
0.0,-0.014,10.683,-0.009,-0.006,-0.004
0.0,0.031,10.896,0.007,-0.008,-0.012
0.005,-0.007,11.089,-0.011,-0.012,-0.017
-0.005,-0.017,11.233,-0.022,-0.004,0.004
0.013,0.003,11.296,0.008,-0.001,0.002
-0.012,0.002,11.276,0.018,0.005,-0.001
-0.002,-0.008,11.23,-0.011,0.009,-0.001
-0.0,0.004,11.097,-0.002,0.008,-0.001
-0.003,-0.012,10.914,-0.015,-0.005,-0.015
0.004,-0.006,10.671,0.001,0.011,0.002
0.001,-0.018,10.435,0.01,-0.014,0.013
0.004,0.003,10.111,0.013,-0.007,-0.012
0.003,0.012,9.801,0.009,0.003,0.004
0.015,0.005,9.819,0.013,-0.03,0.012
0.007,-0.005,9.812,0.006,-0.004,-0.005
-0.023,-0.011,9.801,0.015,0.005,-0.0
0.007,0.004,9.798,0.002,-0.009,-0.008
-0.005,-0.003,9.787,-0.006,-0.013,-0.025
0.003,-0.009,9.792,0.01,-0.007,-0.002
