acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.006,0.313,9.813,-0.01,0.102,0.003
0.079,0.304,9.818,0.022,0.098,0.003
0.119,0.269,9.823,0.039,0.083,0.011
0.181,0.284,9.855,0.036,0.103,-0.015
0.241,0.251,9.911,0.05,0.116,0.011
0.298,0.221,9.928,0.061,0.094,0.004
0.352,0.218,9.948,0.079,0.083,0.008
0.388,0.199,9.967,0.051,0.07,0.01
0.413,0.166,9.973,0.079,0.049,0.011
0.449,0.105,9.987,0.081,0.04,0.003
0.473,0.083,9.982,0.083,0.047,0.009
0.493,0.036,10.002,0.087,0.018,-0.002
0.485,0.022,9.982,0.082,0.021,0.019
0.495,-0.014,9.992,0.104,-0.02,0.014
0.467,-0.047,9.995,0.079,-0.032,0.008
0.477,-0.103,9.974,0.091,-0.034,0.013
0.455,-0.119,9.982,0.088,-0.053,0.002
0.421,-0.155,9.969,0.08,-0.057,-0.011
0.384,-0.183,9.937,0.081,-0.05,-0.008
0.361,-0.225,9.937,0.067,-0.059,0.006
0.297,-0.242,9.921,0.047,-0.086,0.003
0.239,-0.255,9.898,0.039,-0.09,-0.008
0.195,-0.273,9.86,0.03,-0.082,-0.009
0.136,-0.303,9.844,0.028,-0.098,0.01
0.064,-0.299,9.826,0.012,-0.102,0.016
0.023,-0.293,9.803,0.011,-0.116,0.0
-0.069,-0.293,9.769,-0.022,-0.116,-0.009
-0.123,-0.3,9.758,-0.036,-0.107,0.014
-0.187,-0.278,9.717,-0.031,-0.083,0.018
-0.233,-0.253,9.703,-0.038,-0.086,0.007
-0.282,-0.235,9.693,-0.065,-0.081,0.015
-0.339,-0.224,9.656,-0.067,-0.063,0.005
-0.38,-0.198,9.649,-0.076,-0.069,-0.015
-0.417,-0.164,9.62,-0.094,-0.056,-0.003
-0.475,-0.139,9.635,-0.08,-0.054,0.009
-0.49,-0.1,9.593,-0.094,-0.017,-0.009
-0.503,-0.06,9.605,-0.106,-0.024,-0.008
-0.519,-0.031,9.593,-0.089,-0.008,-0.007
-0.509,0.021,9.603,-0.093,-0.002,-0.008
-0.494,0.054,9.609,-0.091,0.023,0.004
-0.464,0.086,9.605,-0.074,0.038,-0.003
-0.464,0.116,9.616,-0.085,0.056,-0.01
-0.412,0.154,9.63,-0.094,0.053,-0.0
-0.389,0.186,9.645,-0.086,0.073,-0.006
-0.343,0.205,9.661,-0.067,0.065,-0.002
-0.291,0.229,9.694,-0.087,0.092,-0.003
-0.243,0.257,9.713,-0.049,0.06,-0.004
-0.18,0.291,9.727,-0.032,0.1,-0.008
-0.121,0.293,9.758,-0.038,0.086,0.01
-0.032,0.298,9.781,-0.002,0.104,-0.003
