acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.009,0.292,9.788,0.009,0.081,-0.003
0.058,0.282,9.816,0.006,0.103,0.002
0.135,0.275,9.837,0.019,0.103,-0.003
0.187,0.273,9.87,0.044,0.087,0.006
0.24,0.265,9.907,0.046,0.091,-0.003
0.303,0.239,9.911,0.065,0.095,0.014
0.342,0.223,9.947,0.071,0.064,0.001
0.385,0.182,9.953,0.051,0.058,0.001
0.42,0.177,9.966,0.071,0.027,0.009
0.458,0.117,9.969,0.086,0.051,0.016
0.469,0.074,9.989,0.087,0.029,-0.005
0.496,0.05,9.985,0.107,0.003,-0.011
0.5,0.017,9.996,0.103,0.006,0.016
0.523,0.002,10.006,0.101,-0.011,-0.019
0.496,-0.058,10.0,0.083,-0.019,0.0
0.465,-0.087,10.006,0.094,-0.037,0.021
0.449,-0.118,9.99,0.103,-0.028,0.003
0.429,-0.18,9.981,0.081,-0.053,-0.003
0.394,-0.195,9.954,0.086,-0.066,-0.001
0.331,-0.208,9.913,0.066,-0.091,0.015
0.302,-0.24,9.918,0.065,-0.096,0.009
0.249,-0.281,9.886,0.041,-0.093,-0.011
0.185,-0.283,9.877,0.034,-0.086,0.006
0.129,-0.305,9.835,0.023,-0.083,0.004
0.071,-0.304,9.825,0.009,-0.102,-0.006
0.009,-0.292,9.797,0.017,-0.115,0.013
-0.06,-0.27,9.778,-0.032,-0.084,0.019
-0.12,-0.28,9.757,-0.033,-0.091,0.002
-0.172,-0.275,9.736,-0.027,-0.097,-0.003
-0.228,-0.276,9.695,-0.031,-0.068,-0.003
-0.291,-0.255,9.679,-0.058,-0.075,0.0
-0.33,-0.216,9.654,-0.046,-0.061,0.013
-0.4,-0.186,9.635,-0.068,-0.066,0.019
-0.433,-0.136,9.616,-0.093,-0.047,0.004
-0.46,-0.143,9.61,-0.085,-0.051,0.005
-0.475,-0.092,9.626,-0.083,-0.022,-0.003
-0.491,-0.048,9.617,-0.106,-0.016,0.003
-0.502,-0.042,9.604,-0.119,-0.009,-0.003
-0.486,0.039,9.617,-0.111,0.009,-0.017
-0.488,0.061,9.626,-0.09,0.015,0.008
-0.473,0.083,9.606,-0.091,0.022,0.017
-0.448,0.124,9.619,-0.093,0.038,-0.003
-0.433,0.156,9.641,-0.091,0.045,-0.006
-0.382,0.186,9.649,-0.092,0.073,-0.006
-0.351,0.213,9.653,-0.053,0.05,-0.013
-0.3,0.245,9.687,-0.058,0.083,0.001
-0.242,0.261,9.704,-0.067,0.078,-0.007
-0.179,0.25,9.71,-0.056,0.085,-0.005
-0.129,0.299,9.748,-0.017,0.103,-0.005
-0.074,0.285,9.774,-0.016,0.087,-0.007
