acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.01,0.302,9.812,-0.002,0.101,0.003
0.063,0.315,9.835,0.016,0.11,0.018
0.119,0.294,9.846,0.018,0.098,-0.009
0.168,0.269,9.879,0.029,0.08,-0.004
0.259,0.263,9.884,0.045,0.104,0.006
0.297,0.246,9.921,0.063,0.08,0.01
0.344,0.234,9.95,0.097,0.07,0.01
0.376,0.191,9.95,0.071,0.054,-0.01
0.4,0.14,9.97,0.096,0.057,0.0
0.456,0.127,9.983,0.093,0.059,-0.006
0.5,0.078,9.973,0.088,0.021,-0.011
0.479,0.048,9.991,0.106,0.025,0.009
0.495,0.015,10.003,0.087,0.018,0.007
0.501,-0.033,10.008,0.091,-0.012,0.011
0.478,-0.053,9.996,0.092,-0.032,0.001
0.481,-0.111,9.99,0.081,-0.04,-0.007
0.451,-0.12,9.983,0.098,-0.043,-0.011
0.408,-0.152,9.978,0.095,-0.055,0.004
0.398,-0.192,9.961,0.078,-0.055,0.005
0.35,-0.216,9.935,0.07,-0.076,-0.01
0.291,-0.226,9.907,0.05,-0.099,0.001
0.239,-0.274,9.918,0.059,-0.1,0.007
0.184,-0.279,9.859,0.038,-0.103,0.005
0.135,-0.308,9.86,0.033,-0.098,-0.001
0.06,-0.316,9.835,0.026,-0.08,-0.008
-0.013,-0.298,9.801,0.0,-0.096,-0.004
-0.056,-0.301,9.761,-0.006,-0.094,-0.01
-0.144,-0.289,9.746,-0.03,-0.108,-0.023
-0.177,-0.268,9.731,-0.033,-0.091,0.001
-0.253,-0.274,9.715,-0.045,-0.08,0.017
-0.306,-0.269,9.689,-0.064,-0.069,-0.006
-0.335,-0.224,9.663,-0.073,-0.079,0.025
-0.389,-0.194,9.636,-0.078,-0.049,0.02
-0.439,-0.171,9.647,-0.077,-0.033,-0.002
-0.454,-0.121,9.616,-0.102,-0.06,-0.001
-0.456,-0.11,9.625,-0.098,-0.043,0.003
-0.475,-0.053,9.587,-0.102,0.003,0.002
-0.499,-0.011,9.594,-0.097,-0.014,0.017
-0.496,0.031,9.597,-0.108,0.013,0.009
-0.493,0.055,9.612,-0.098,0.038,0.002
-0.477,0.114,9.599,-0.09,0.024,0.015
-0.462,0.146,9.638,-0.085,0.037,0.023
-0.424,0.145,9.635,-0.08,0.067,0.003
-0.395,0.194,9.647,-0.081,0.056,-0.004
-0.368,0.216,9.654,-0.093,0.074,0.002
-0.313,0.243,9.67,-0.062,0.068,-0.002
-0.248,0.246,9.7,-0.033,0.091,0.009
-0.19,0.286,9.74,-0.035,0.088,0.002
-0.135,0.288,9.73,-0.035,0.096,-0.025
-0.066,0.315,9.769,-0.009,0.11,-0.01
