acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.014,0.31,9.804,0.003,0.115,0.004
0.069,0.293,9.835,-0.007,0.093,-0.011
0.126,0.286,9.845,0.022,0.102,-0.0
0.188,0.294,9.902,0.032,0.089,-0.005
0.256,0.265,9.895,0.043,0.085,-0.008
0.278,0.244,9.916,0.067,0.078,-0.005
0.358,0.217,9.927,0.058,0.071,0.005
0.389,0.193,9.95,0.085,0.08,0.009
0.407,0.174,9.974,0.085,0.058,-0.004
0.434,0.146,9.971,0.096,0.029,0.023
0.476,0.078,9.983,0.094,0.066,0.009
0.5,0.045,9.999,0.096,0.019,0.0
0.498,0.028,9.999,0.086,0.016,-0.005
0.506,-0.023,9.999,0.099,0.003,-0.001
0.479,-0.061,9.991,0.094,-0.008,-0.012
0.465,-0.081,10.001,0.096,-0.032,0.002
0.453,-0.118,9.991,0.108,-0.041,0.004
0.418,-0.159,9.978,0.075,-0.062,0.0
0.373,-0.196,9.943,0.082,-0.078,0.005
0.356,-0.229,9.934,0.067,-0.082,0.006
0.295,-0.249,9.918,0.037,-0.084,-0.004
0.243,-0.263,9.897,0.063,-0.113,0.007
0.19,-0.279,9.873,0.031,-0.08,0.02
0.135,-0.286,9.832,0.028,-0.08,0.013
0.06,-0.29,9.827,0.004,-0.101,0.009
-0.008,-0.292,9.791,-0.0,-0.092,-0.002
-0.068,-0.29,9.762,-0.022,-0.109,-0.006
-0.121,-0.28,9.756,-0.007,-0.082,0.007
-0.187,-0.288,9.726,-0.039,-0.107,0.002
-0.242,-0.255,9.694,-0.05,-0.085,0.014
-0.31,-0.243,9.696,-0.049,-0.086,0.0
-0.328,-0.226,9.66,-0.065,-0.079,0.008
-0.408,-0.192,9.649,-0.07,-0.05,-0.002
-0.418,-0.146,9.633,-0.086,-0.05,0.001
-0.456,-0.121,9.617,-0.089,-0.039,-0.005
-0.481,-0.097,9.606,-0.08,-0.044,-0.009
-0.484,-0.048,9.619,-0.086,-0.023,-0.012
-0.497,-0.032,9.597,-0.103,-0.018,0.003
-0.483,0.007,9.603,-0.095,0.001,-0.013
-0.492,0.04,9.609,-0.096,0.012,0.01
-0.476,0.106,9.598,-0.095,0.039,-0.009
-0.461,0.13,9.6,-0.101,0.03,0.009
-0.405,0.172,9.633,-0.071,0.05,0.017
-0.367,0.199,9.658,-0.087,0.072,-0.007
-0.339,0.216,9.661,-0.05,0.069,-0.003
-0.289,0.245,9.69,-0.064,0.071,-0.005
-0.26,0.27,9.715,-0.043,0.094,-0.002
-0.201,0.279,9.725,-0.047,0.08,-0.007
-0.115,0.286,9.741,-0.029,0.121,-0.018
-0.059,0.301,9.757,-0.007,0.087,0.016
