acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.005,0.304,9.795,-0.007,0.085,0.009
0.071,0.307,9.83,0.01,0.094,-0.002
0.124,0.288,9.832,0.043,0.086,-0.002
0.164,0.28,9.861,0.03,0.087,0.004
0.238,0.263,9.889,0.055,0.088,0.005
0.292,0.241,9.916,0.068,0.111,-0.005
0.335,0.224,9.929,0.071,0.066,0.0
0.382,0.189,9.95,0.09,0.058,0.0
0.423,0.156,9.964,0.099,0.047,-0.019
0.452,0.12,9.983,0.073,0.035,-0.0
0.449,0.095,9.998,0.093,0.05,-0.002
0.489,0.066,9.998,0.116,0.014,-0.003
0.484,0.019,9.998,0.083,0.01,0.016
0.504,-0.028,9.987,0.086,-0.005,0.006
0.498,-0.073,9.996,0.093,-0.013,-0.011
0.474,-0.091,9.994,0.102,-0.04,-0.019
0.453,-0.118,9.993,0.091,-0.044,-0.002
0.421,-0.167,9.965,0.103,-0.051,-0.007
0.373,-0.177,9.946,0.095,-0.064,-0.014
0.359,-0.222,9.942,0.065,-0.075,-0.007
0.286,-0.238,9.919,0.051,-0.089,-0.008
0.238,-0.25,9.908,0.052,-0.102,0.016
0.184,-0.277,9.9,0.038,-0.095,0.009
0.128,-0.301,9.85,0.03,-0.1,0.008
0.072,-0.315,9.836,0.019,-0.089,0.006
-0.015,-0.302,9.805,-0.006,-0.092,-0.017
-0.06,-0.297,9.779,-0.013,-0.092,0.02
-0.126,-0.297,9.751,-0.02,-0.099,0.009
-0.156,-0.283,9.734,-0.047,-0.116,0.0
-0.247,-0.265,9.722,-0.037,-0.093,-0.002
-0.302,-0.225,9.714,-0.028,-0.078,-0.003
-0.355,-0.213,9.675,-0.083,-0.071,-0.0
-0.374,-0.183,9.635,-0.068,-0.05,0.007
-0.407,-0.177,9.632,-0.091,-0.063,-0.004
-0.438,-0.131,9.617,-0.089,-0.057,-0.001
-0.477,-0.086,9.611,-0.097,-0.035,0.0
-0.485,-0.046,9.611,-0.104,-0.011,-0.004
-0.497,-0.013,9.602,-0.104,-0.007,0.004
-0.497,0.023,9.607,-0.096,0.007,0.003
-0.486,0.054,9.622,-0.101,0.01,-0.012
-0.468,0.093,9.613,-0.095,0.034,0.016
-0.445,0.122,9.616,-0.102,0.057,-0.011
-0.429,0.154,9.636,-0.081,0.075,0.015
-0.381,0.186,9.648,-0.085,0.045,0.001
-0.341,0.224,9.666,-0.06,0.063,0.002
-0.29,0.239,9.68,-0.072,0.111,0.005
-0.228,0.29,9.69,-0.048,0.097,-0.001
-0.182,0.262,9.743,-0.035,0.091,0.013
-0.132,0.295,9.749,-0.048,0.092,-0.002
-0.064,0.308,9.782,-0.001,0.127,0.01
