acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.019,0.296,9.81,0.004,0.1,-0.021
0.037,0.293,9.837,-0.0,0.102,0.002
0.122,0.288,9.858,0.003,0.115,0.001
0.175,0.285,9.874,0.06,0.095,0.012
0.252,0.254,9.902,0.062,0.089,0.009
0.301,0.246,9.907,0.054,0.071,-0.012
0.326,0.215,9.926,0.077,0.086,-0.009
0.37,0.189,9.971,0.068,0.067,-0.015
0.412,0.159,9.96,0.095,0.057,0.006
0.451,0.118,9.998,0.109,0.061,0.004
0.487,0.083,9.984,0.08,0.04,0.019
0.475,0.036,9.983,0.105,0.009,-0.006
0.499,0.025,9.992,0.089,0.01,-0.007
0.497,-0.012,10.002,0.111,0.0,-0.001
0.499,-0.086,9.977,0.107,-0.03,-0.02
0.471,-0.106,9.988,0.1,-0.036,-0.019
0.446,-0.129,9.982,0.088,-0.047,0.006
0.43,-0.168,9.993,0.099,-0.033,-0.001
0.372,-0.164,9.927,0.067,-0.076,0.008
0.364,-0.204,9.941,0.082,-0.098,0.006
0.298,-0.254,9.922,0.075,-0.091,-0.004
0.245,-0.257,9.884,0.031,-0.091,-0.006
0.174,-0.275,9.873,0.033,-0.083,0.005
0.114,-0.29,9.865,0.014,-0.094,-0.003
0.066,-0.308,9.83,0.018,-0.131,0.0
0.003,-0.309,9.783,0.004,-0.107,-0.001
-0.058,-0.313,9.772,-0.015,-0.093,-0.009
-0.116,-0.296,9.76,-0.031,-0.091,0.001
-0.168,-0.279,9.743,-0.035,-0.088,-0.004
-0.228,-0.28,9.704,-0.048,-0.083,-0.003
-0.273,-0.236,9.659,-0.059,-0.077,0.007
-0.354,-0.233,9.669,-0.067,-0.064,0.002
-0.376,-0.184,9.631,-0.098,-0.059,0.001
-0.42,-0.147,9.633,-0.083,-0.065,-0.015
-0.448,-0.1,9.618,-0.094,-0.061,-0.002
-0.482,-0.101,9.613,-0.082,-0.041,0.0
-0.492,-0.066,9.6,-0.099,-0.035,0.01
-0.525,-0.004,9.611,-0.112,-0.005,0.003
-0.499,0.028,9.614,-0.103,0.02,-0.005
-0.491,0.062,9.608,-0.079,0.04,-0.001
-0.467,0.081,9.611,-0.096,0.049,0.011
-0.473,0.116,9.638,-0.084,0.034,0.011
-0.421,0.161,9.626,-0.087,0.046,-0.024
-0.39,0.186,9.621,-0.078,0.047,-0.021
-0.344,0.224,9.651,-0.079,0.08,-0.003
-0.309,0.238,9.679,-0.071,0.08,-0.005
-0.234,0.247,9.685,-0.056,0.084,0.01
-0.201,0.261,9.742,-0.048,0.103,0.007
-0.135,0.289,9.76,-0.027,0.082,0.004
-0.066,0.311,9.764,-0.019,0.082,0.005
