acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.01,0.301,9.799,0.029,0.101,-0.003
0.078,0.316,9.823,0.009,0.116,-0.001
0.116,0.303,9.853,0.019,0.092,-0.003
0.171,0.265,9.86,0.049,0.095,-0.009
0.233,0.254,9.901,0.058,0.071,-0.013
0.289,0.23,9.933,0.063,0.083,0.019
0.345,0.203,9.945,0.05,0.074,0.012
0.398,0.213,9.96,0.076,0.067,-0.015
0.418,0.174,9.971,0.087,0.06,-0.004
0.456,0.125,9.976,0.075,0.024,-0.015
0.482,0.091,9.986,0.098,0.038,-0.008
0.479,0.056,10.004,0.089,0.012,-0.009
0.49,0.009,9.99,0.095,0.01,0.003
0.513,-0.031,9.997,0.091,-0.005,-0.007
0.479,-0.049,9.991,0.1,-0.003,-0.022
0.467,-0.083,9.989,0.094,-0.026,-0.004
0.469,-0.109,9.977,0.092,-0.047,-0.005
0.42,-0.164,9.957,0.092,-0.04,0.013
0.387,-0.198,9.952,0.097,-0.045,-0.002
0.366,-0.226,9.948,0.062,-0.068,0.027
0.303,-0.248,9.915,0.069,-0.078,-0.009
0.218,-0.26,9.907,0.064,-0.094,-0.004
0.188,-0.273,9.864,0.047,-0.089,-0.007
0.122,-0.295,9.863,0.017,-0.089,0.002
0.062,-0.303,9.822,0.017,-0.078,0.009
-0.003,-0.3,9.79,-0.014,-0.091,0.007
-0.065,-0.299,9.775,-0.029,-0.12,0.016
-0.116,-0.291,9.767,-0.031,-0.097,0.014
-0.182,-0.288,9.72,-0.031,-0.081,-0.017
-0.23,-0.273,9.703,-0.035,-0.082,-0.015
-0.309,-0.237,9.68,-0.061,-0.083,-0.001
-0.338,-0.224,9.669,-0.07,-0.074,0.006
-0.383,-0.178,9.617,-0.078,-0.074,-0.025
-0.408,-0.155,9.625,-0.101,-0.047,-0.007
-0.448,-0.11,9.619,-0.073,-0.043,-0.007
-0.476,-0.092,9.605,-0.101,-0.021,0.005
-0.483,-0.059,9.596,-0.098,-0.027,-0.004
-0.511,-0.009,9.6,-0.099,-0.007,-0.007
-0.5,0.018,9.607,-0.099,0.016,-0.001
-0.481,0.051,9.603,-0.105,0.024,-0.014
-0.494,0.089,9.615,-0.093,0.024,-0.008
-0.43,0.131,9.612,-0.089,0.043,-0.002
-0.423,0.17,9.638,-0.071,0.042,-0.014
-0.39,0.183,9.637,-0.081,0.059,-0.001
-0.336,0.214,9.646,-0.059,0.074,-0.01
-0.301,0.241,9.686,-0.06,0.065,-0.01
-0.247,0.268,9.683,-0.057,0.073,-0.012
-0.176,0.281,9.728,-0.034,0.11,-0.0
-0.105,0.289,9.767,-0.026,0.099,0.006
-0.057,0.307,9.767,-0.02,0.103,0.008
