acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.008,0.298,9.79,-0.0,0.086,0.012
0.068,0.293,9.824,0.009,0.095,0.004
0.14,0.288,9.845,0.028,0.107,0.001
0.191,0.273,9.867,0.032,0.1,0.018
0.248,0.243,9.906,0.052,0.093,0.01
0.286,0.241,9.933,0.064,0.072,0.001
0.345,0.203,9.952,0.062,0.078,-0.01
0.388,0.194,9.951,0.064,0.052,0.009
0.429,0.165,9.968,0.081,0.057,0.008
0.432,0.124,9.98,0.09,0.052,-0.004
0.482,0.086,9.995,0.092,0.039,-0.015
0.486,0.058,9.994,0.115,0.009,-0.009
0.5,0.029,9.997,0.104,0.005,-0.011
0.495,-0.035,9.995,0.093,0.001,0.007
0.477,-0.061,9.99,0.1,-0.031,0.008
0.476,-0.098,10.003,0.097,-0.024,0.009
0.445,-0.119,9.989,0.091,-0.046,0.008
0.407,-0.165,9.969,0.081,-0.064,-0.011
0.381,-0.193,9.957,0.078,-0.053,-0.017
0.352,-0.219,9.934,0.06,-0.081,0.006
0.292,-0.234,9.93,0.073,-0.09,-0.007
0.252,-0.268,9.887,0.05,-0.089,0.006
0.186,-0.269,9.88,0.04,-0.107,-0.007
0.106,-0.32,9.839,0.026,-0.103,0.007
0.048,-0.275,9.822,0.009,-0.1,0.014
-0.014,-0.298,9.827,-0.015,-0.093,0.023
-0.066,-0.304,9.771,-0.009,-0.085,0.006
-0.121,-0.291,9.742,-0.041,-0.078,-0.003
-0.166,-0.28,9.731,-0.035,-0.098,0.004
-0.231,-0.251,9.695,-0.042,-0.081,0.008
-0.297,-0.241,9.678,-0.057,-0.083,-0.006
-0.33,-0.224,9.664,-0.065,-0.07,-0.003
-0.389,-0.193,9.645,-0.076,-0.071,0.009
-0.409,-0.168,9.646,-0.082,-0.037,0.001
-0.453,-0.11,9.622,-0.086,-0.041,-0.002
-0.472,-0.094,9.59,-0.12,-0.033,-0.001
-0.509,-0.055,9.602,-0.117,-0.045,-0.008
-0.497,-0.016,9.597,-0.101,-0.007,-0.019
-0.503,-0.005,9.603,-0.097,0.001,-0.006
-0.485,0.067,9.602,-0.105,0.008,0.01
-0.482,0.083,9.599,-0.091,0.051,0.001
-0.455,0.122,9.624,-0.104,0.052,-0.012
-0.417,0.149,9.641,-0.08,0.056,-0.004
-0.381,0.188,9.656,-0.097,0.053,0.004
-0.338,0.21,9.655,-0.062,0.087,0.014
-0.291,0.24,9.686,-0.056,0.088,0.005
-0.231,0.278,9.702,-0.057,0.106,0.01
-0.173,0.277,9.731,-0.03,0.092,-0.003
-0.123,0.288,9.761,-0.025,0.092,0.011
-0.07,0.296,9.793,-0.008,0.093,0.003
