acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.001,0.312,9.81,0.004,0.102,-0.005
0.077,0.311,9.814,0.004,0.093,-0.005
0.118,0.276,9.853,0.019,0.104,-0.003
0.175,0.274,9.871,0.021,0.099,-0.005
0.244,0.267,9.918,0.062,0.103,0.0
0.284,0.245,9.912,0.065,0.075,-0.014
0.357,0.207,9.93,0.049,0.052,0.008
0.382,0.192,9.964,0.081,0.083,-0.003
0.44,0.17,9.957,0.083,0.056,-0.004
0.457,0.139,9.995,0.073,0.047,-0.007
0.46,0.099,9.993,0.097,0.026,0.005
0.491,0.061,9.997,0.096,0.01,-0.001
0.508,0.005,10.012,0.1,-0.001,-0.008
0.506,-0.037,9.998,0.098,0.003,0.005
0.497,-0.06,9.995,0.1,-0.014,-0.007
0.492,-0.1,9.971,0.1,-0.044,-0.011
0.444,-0.135,9.979,0.074,-0.034,-0.0
0.408,-0.141,9.985,0.082,-0.062,0.01
0.364,-0.196,9.939,0.062,-0.068,0.005
0.349,-0.183,9.917,0.062,-0.061,-0.007
0.297,-0.242,9.933,0.058,-0.094,-0.001
0.261,-0.272,9.895,0.058,-0.094,0.002
0.188,-0.279,9.873,0.045,-0.086,0.006
0.132,-0.292,9.862,0.028,-0.084,0.003
0.062,-0.303,9.812,0.012,-0.091,0.0
-0.01,-0.302,9.793,0.004,-0.072,0.007
-0.083,-0.289,9.77,0.005,-0.103,0.013
-0.124,-0.295,9.752,-0.02,-0.092,0.006
-0.181,-0.296,9.719,-0.018,-0.091,-0.001
-0.237,-0.246,9.693,-0.033,-0.101,-0.014
-0.295,-0.254,9.691,-0.055,-0.081,0.007
-0.332,-0.217,9.677,-0.063,-0.08,-0.001
-0.383,-0.194,9.622,-0.086,-0.059,-0.007
-0.439,-0.163,9.635,-0.094,-0.042,0.011
-0.453,-0.154,9.604,-0.087,-0.042,-0.003
-0.476,-0.092,9.609,-0.109,-0.042,0.003
-0.498,-0.049,9.605,-0.107,-0.017,-0.009
-0.498,-0.028,9.609,-0.114,0.013,0.014
-0.511,0.034,9.603,-0.08,0.003,-0.005
-0.507,0.076,9.598,-0.071,0.019,0.016
-0.465,0.101,9.626,-0.094,0.028,0.003
-0.441,0.143,9.617,-0.089,0.036,-0.0
-0.425,0.151,9.624,-0.086,0.055,-0.003
-0.372,0.207,9.645,-0.088,0.078,-0.001
-0.343,0.224,9.677,-0.067,0.076,-0.012
-0.289,0.263,9.682,-0.039,0.086,-0.001
-0.242,0.258,9.706,-0.031,0.078,-0.005
-0.169,0.268,9.724,-0.034,0.071,-0.015
-0.12,0.283,9.747,-0.01,0.083,-0.003
-0.075,0.292,9.776,-0.029,0.106,0.016
