acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.008,-0.008,9.798,0.029,-0.016,0.011
0.003,-0.001,9.806,0.001,-0.009,0.0
-0.001,-0.013,9.804,0.005,-0.019,-0.004
-0.01,-0.004,9.809,-0.002,0.0,-0.01
0.004,-0.006,9.801,-0.014,-0.005,0.011
-0.004,0.001,9.809,0.005,-0.003,0.005
-0.02,0.004,9.797,0.002,-0.009,-0.011
0.007,-0.0,9.809,-0.004,0.006,-0.005
-0.004,-0.004,9.803,-0.028,-0.015,-0.015
0.004,0.007,9.794,-0.013,0.021,0.015
-0.002,0.004,9.799,0.005,0.018,0.004
0.008,0.011,9.805,0.018,-0.012,-0.016
0.003,0.001,9.817,0.009,-0.015,-0.006
-0.009,0.007,9.787,0.017,0.027,-0.019
0.003,0.004,12.083,-0.009,0.02,0.001
-0.006,0.012,14.265,-0.024,0.026,-0.024
-0.002,-0.002,16.264,-0.021,-0.001,-0.004
-0.036,-0.014,17.964,-0.047,0.014,0.001
-0.018,-0.0,19.311,-0.009,-0.025,0.011
-0.02,0.018,20.261,-0.01,-0.005,0.018
-0.012,0.003,20.749,-0.005,-0.012,0.001
0.012,-0.005,20.741,-0.015,0.008,0.001
0.006,-0.016,20.257,0.023,-0.021,0.003
0.021,0.004,19.332,0.02,0.003,0.018
0.014,-0.0,17.975,0.023,-0.023,-0.006
0.009,0.017,16.271,0.008,0.013,0.006
0.009,-0.01,14.278,0.038,0.014,0.017
-0.016,0.003,12.102,-0.004,-0.05,0.015
0.002,0.022,0.061,-0.004,0.034,0.009
0.008,-0.005,6.402,-0.01,-0.008,0.009
-0.01,-0.005,3.33,-0.028,-0.01,-0.003
-0.029,-0.02,0.904,0.036,0.02,0.014
-0.009,-0.023,-0.659,0.007,-0.008,-0.009
-0.0,-0.004,-1.215,-0.027,0.006,-0.01
0.01,0.005,-0.666,-0.008,0.025,0.001
0.004,0.022,0.89,0.01,-0.008,0.005
0.007,-0.004,3.337,-0.011,0.062,0.018
0.011,-0.011,6.385,-0.034,0.017,0.012
-0.02,-0.003,9.81,0.015,-0.015,0.007
-0.014,-0.007,9.783,-0.019,-0.008,-0.004
-0.018,0.016,9.797,0.003,0.007,0.01
0.004,-0.014,9.792,0.013,-0.016,-0.002
-0.013,0.007,9.807,0.008,0.018,0.006
0.011,0.006,9.797,0.002,0.006,0.0
0.002,-0.013,9.803,0.0,-0.003,-0.0
0.004,0.003,9.801,-0.004,0.001,-0.001
0.002,0.003,9.812,0.018,-0.017,-0.009
-0.001,-0.005,9.804,-0.014,-0.008,0.014
-0.01,-0.005,9.808,0.017,0.01,0.005
-0.008,0.01,9.792,0.002,0.004,-0.01
