acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.015,0.002,9.788,0.001,0.002,-0.001
-0.002,-0.001,9.775,-0.012,-0.001,0.005
0.014,0.002,9.806,-0.001,0.005,0.001
-0.011,0.006,9.805,-0.011,0.0,-0.005
0.009,0.017,9.802,0.003,-0.012,0.001
0.008,0.009,9.806,0.008,0.016,-0.002
-0.002,0.001,9.813,0.006,0.017,0.02
0.005,-0.002,9.795,0.001,-0.009,0.017
-0.002,-0.003,9.793,0.013,-0.003,-0.003
0.011,0.005,9.808,-0.002,0.019,-0.006
0.008,0.009,9.812,0.035,0.007,-0.016
-0.009,-0.002,9.794,-0.007,-0.001,0.004
0.002,-0.011,9.793,-0.035,0.006,0.009
0.005,-0.003,12.115,-0.024,-0.005,0.022
-0.003,0.006,14.293,-0.007,-0.005,0.003
-0.005,-0.007,16.16,-0.015,-0.038,-0.007
0.003,-0.006,17.587,-0.022,-0.014,-0.005
0.004,-0.003,18.51,0.008,-0.021,-0.007
-0.003,-0.001,18.798,0.001,-0.04,-0.0
-0.009,-0.001,18.493,0.027,-0.007,0.006
0.008,-0.007,17.597,0.02,0.012,0.004
0.005,0.012,16.155,-0.026,0.018,0.002
-0.004,0.003,14.299,0.013,0.022,0.002
0.003,0.005,12.144,0.024,-0.033,0.008
0.019,-0.024,-0.358,0.027,0.041,0.016
0.008,0.007,6.706,0.018,-0.009,0.004
0.001,-0.001,4.033,0.001,0.026,-0.017
-0.005,-0.006,1.998,0.017,0.019,0.006
-0.003,-0.01,0.93,0.025,0.01,-0.006
-0.026,-0.009,0.945,0.007,-0.013,0.006
0.013,-0.002,1.994,-0.007,-0.011,-0.002
-0.016,0.001,4.006,-0.003,-0.028,-0.013
0.005,-0.011,6.717,0.004,-0.035,-0.0
0.012,0.03,9.786,0.004,0.009,-0.014
0.018,-0.002,9.801,0.011,-0.014,0.001
0.008,0.008,9.801,-0.002,-0.011,-0.017
-0.02,0.007,9.804,0.0,-0.006,-0.024
0.015,0.002,9.79,0.02,0.004,-0.014
-0.009,0.014,9.805,0.007,-0.013,0.008
0.003,-0.003,9.801,0.006,-0.01,-0.01
-0.006,-0.014,9.804,0.0,-0.006,0.003
0.006,-0.018,9.818,-0.001,0.022,0.004
-0.011,-0.014,9.805,-0.001,-0.02,-0.016
0.001,0.009,9.793,0.015,0.017,0.012
-0.009,-0.004,9.779,0.017,0.003,0.012
-0.011,0.001,9.795,-0.013,-0.016,0.01
-0.001,-0.003,9.792,-0.029,-0.007,-0.004
0.003,0.0,9.798,-0.001,0.009,0.007
0.023,0.001,9.8,-0.016,-0.002,0.004
-0.011,0.007,9.816,0.007,-0.014,-0.005
