acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.006,-0.001,9.816,0.002,-0.008,-0.004
-0.007,0.008,9.785,0.007,0.006,0.013
-0.003,0.01,9.803,0.003,0.003,-0.001
-0.005,-0.007,9.806,0.013,0.023,0.029
-0.005,-0.01,9.797,0.002,-0.018,-0.017
-0.009,0.007,9.801,0.016,-0.005,-0.002
0.01,0.012,9.807,0.007,-0.007,0.007
-0.024,-0.028,9.796,0.002,-0.012,0.004
-0.006,0.013,9.797,-0.014,0.005,-0.001
-0.009,-0.006,9.789,0.007,0.003,0.006
0.002,-0.008,9.81,-0.002,-0.008,0.004
0.012,0.02,9.78,0.01,0.003,-0.015
-0.005,0.014,9.798,-0.013,0.004,0.017
0.001,0.003,9.81,0.0,-0.006,0.008
0.001,-0.006,9.787,0.004,0.001,-0.004
0.003,0.01,9.798,-0.001,-0.002,-0.006
-0.008,0.011,9.803,-0.006,0.007,0.015
-0.005,0.003,9.797,-0.021,-0.01,0.004
0.004,-0.004,9.795,-0.015,-0.002,0.013
-0.009,0.021,14.252,0.029,-0.032,0.008
0.009,0.017,18.155,-0.012,-0.009,0.015
-0.001,-0.009,21.083,0.047,0.003,0.004
-0.022,0.019,22.609,0.01,-0.021,0.002
-0.021,0.022,22.608,0.024,0.043,0.014
-0.011,0.004,21.051,0.009,0.023,0.006
-0.003,-0.015,18.152,-0.003,0.035,-0.006
-0.008,-0.002,14.24,-0.057,0.03,-0.007
-0.01,0.023,0.416,-0.059,0.005,-0.0
0.006,-0.016,3.298,0.014,-0.017,-0.011
-0.013,0.011,-1.45,0.029,0.017,-0.004
-0.004,0.003,-3.194,-0.003,0.035,0.024
0.0,0.001,-1.471,0.01,-0.008,-0.017
0.008,-0.011,3.287,0.017,-0.013,-0.011
0.002,0.006,9.795,0.015,0.013,0.001
0.007,0.004,9.81,-0.019,-0.013,-0.01
0.009,0.001,9.786,0.021,0.005,0.013
0.022,0.02,9.803,-0.0,0.007,-0.004
0.01,0.007,9.81,-0.004,0.01,-0.002
0.008,-0.016,9.796,0.007,-0.011,-0.003
0.019,-0.02,9.818,0.003,-0.004,-0.001
0.013,-0.015,9.795,-0.002,-0.011,0.003
0.003,-0.001,9.804,-0.001,0.015,-0.016
-0.015,-0.012,9.798,0.006,0.027,-0.006
-0.01,-0.017,9.786,-0.003,-0.006,-0.001
0.005,-0.011,9.798,0.0,0.016,-0.004
-0.003,-0.001,9.787,-0.005,0.008,-0.009
0.001,0.011,9.817,-0.013,0.007,-0.001
0.002,0.003,9.793,0.004,-0.011,-0.011
-0.0,0.004,9.801,-0.003,-0.003,0.005
-0.001,0.009,9.813,0.019,-0.012,-0.006
