acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.006,-0.001,9.811,-0.011,-0.003,0.003
-0.006,0.006,9.799,0.005,-0.004,0.006
0.001,0.002,9.79,0.011,0.004,0.009
0.0,0.005,9.798,-0.02,-0.013,0.021
0.008,-0.009,9.801,0.005,0.008,-0.012
0.006,0.012,9.786,0.0,-0.004,0.001
0.015,-0.003,9.801,-0.003,0.008,0.008
-0.001,0.001,9.791,0.007,0.001,-0.011
-0.005,0.001,9.803,-0.016,-0.014,-0.003
-0.005,-0.011,9.816,0.005,-0.014,-0.01
-0.009,0.004,9.817,-0.01,-0.019,-0.002
0.004,0.021,9.81,-0.001,0.003,0.002
-0.009,-0.014,9.801,0.006,0.0,-0.004
-0.013,0.003,9.791,-0.008,0.015,-0.003
0.006,-0.014,9.781,-0.005,0.006,0.006
-0.003,-0.003,9.799,0.001,-0.012,-0.004
-0.01,0.007,9.793,0.038,0.005,0.005
0.028,0.002,12.789,0.016,0.009,0.002
-0.005,-0.002,14.997,-0.027,-0.0,0.005
0.007,-0.001,15.78,0.021,0.031,0.002
0.004,0.011,14.992,-0.029,0.018,0.001
0.009,0.002,12.801,0.028,0.011,0.013
0.005,0.014,-0.241,0.037,-0.005,0.003
-0.007,0.005,8.559,-0.016,0.008,0.009
0.002,0.011,7.354,-0.029,0.019,-0.019
-0.015,0.009,6.273,-0.047,-0.043,-0.014
0.008,-0.006,5.333,0.033,-0.019,-0.006
-0.01,0.025,4.583,0.046,-0.01,0.006
-0.0,0.006,4.083,0.044,-0.006,-0.002
-0.008,-0.001,3.825,-0.018,0.004,0.021
0.013,0.003,3.826,-0.018,0.022,0.001
0.014,-0.019,4.102,-0.014,0.01,0.004
0.02,0.005,4.6,-0.032,-0.019,0.009
-0.011,0.003,5.334,-0.001,-0.013,-0.005
0.017,0.006,6.278,-0.026,-0.032,-0.002
-0.002,-0.001,7.38,0.001,0.039,0.004
-0.003,0.011,8.544,0.042,0.006,-0.001
0.007,0.009,9.814,-0.001,-0.004,-0.0
0.014,-0.008,9.813,0.001,0.001,-0.004
-0.0,0.001,9.811,-0.006,0.005,0.011
-0.006,-0.013,9.805,-0.002,0.006,0.003
-0.008,-0.017,9.805,-0.01,-0.005,0.011
-0.005,0.01,9.814,0.001,0.014,0.001
-0.003,0.003,9.802,0.0,-0.005,0.005
0.004,0.01,9.794,0.005,0.013,0.012
-0.004,-0.002,9.792,-0.001,-0.027,0.007
0.003,-0.01,9.783,-0.006,-0.014,0.009
-0.002,0.003,9.799,-0.006,-0.016,0.006
-0.005,0.012,9.801,-0.012,-0.008,0.011
-0.019,-0.005,9.793,0.004,-0.007,0.004
