acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.007,-0.017,9.813,-0.009,0.005,0.014
-0.008,-0.001,9.796,-0.01,-0.0,-0.012
-0.013,0.001,9.783,-0.019,-0.002,0.011
0.025,0.005,9.811,-0.016,0.019,0.006
0.009,0.019,9.797,0.021,0.0,0.006
-0.015,-0.003,9.786,-0.011,-0.001,-0.001
-0.009,-0.009,9.792,-0.01,-0.002,-0.009
0.002,0.028,9.793,0.012,-0.008,-0.004
-0.0,0.012,9.821,-0.009,0.018,0.008
0.015,0.014,9.792,0.017,0.008,-0.014
0.012,-0.007,9.809,-0.008,-0.004,0.007
0.023,-0.004,9.808,-0.007,0.005,0.002
-0.017,-0.013,9.804,0.01,0.012,0.002
-0.009,-0.009,9.805,0.002,-0.022,0.002
-0.002,0.004,9.794,-0.015,0.011,-0.008
-0.004,0.005,9.81,-0.003,0.0,0.003
0.009,0.001,9.787,0.002,0.0,0.006
-0.004,0.011,9.803,0.0,0.009,-0.001
-0.011,0.005,13.395,-0.028,0.007,-0.007
0.016,0.008,16.775,0.013,-0.001,0.002
0.006,0.009,19.748,0.055,-0.022,-0.008
0.008,-0.01,22.147,-0.014,-0.013,-0.007
0.022,-0.002,23.828,-0.011,0.019,0.019
0.001,0.02,24.69,0.058,-0.024,-0.016
0.003,-0.003,24.698,-0.037,0.04,-0.007
-0.003,0.008,23.853,0.011,-0.038,-0.006
0.0,0.005,22.155,0.027,-0.023,-0.002
-0.009,0.003,19.743,0.028,-0.025,0.008
-0.004,-0.004,16.76,0.013,-0.005,-0.021
0.025,0.004,13.403,-0.012,0.003,0.004
0.005,0.02,-0.03,-0.009,0.008,0.005
-0.007,-0.005,6.211,-0.026,-0.01,-0.009
0.009,0.006,2.831,0.027,-0.0,0.007
0.0,0.012,-0.15,0.007,0.006,0.014
-0.011,-0.002,-2.549,0.015,0.002,0.007
0.014,0.011,-4.226,-0.002,0.034,-0.004
0.0,-0.005,-5.08,-0.014,-0.022,0.012
-0.0,0.01,-5.096,-0.007,0.001,-0.003
-0.015,0.008,-4.202,0.008,-0.029,0.0
-0.004,0.023,-2.542,-0.035,0.029,0.006
0.002,0.008,-0.145,0.038,-0.053,-0.001
-0.008,0.005,2.819,-0.015,-0.009,0.002
0.017,0.001,6.208,-0.023,0.014,-0.001
-0.021,0.016,9.789,0.007,-0.013,-0.017
0.003,-0.003,9.796,-0.011,0.006,0.023
-0.012,0.003,9.804,-0.004,-0.007,0.001
-0.007,0.004,9.805,-0.002,0.005,0.002
-0.0,-0.016,9.801,-0.007,0.003,0.001
0.004,-0.005,9.802,-0.004,-0.012,-0.005
0.011,-0.003,9.792,0.016,-0.008,-0.005
