acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.002,0.01,9.8,0.01,0.005,0.005
-0.012,-0.008,9.791,-0.01,0.001,-0.011
-0.001,0.009,9.806,-0.001,-0.012,0.008
-0.005,-0.002,9.8,-0.007,-0.017,0.015
-0.001,-0.006,9.788,-0.007,-0.001,0.011
0.012,-0.004,9.802,-0.018,-0.006,0.007
-0.014,0.015,9.816,-0.003,-0.018,0.001
-0.009,-0.003,9.79,-0.01,-0.012,0.012
0.0,0.013,9.799,0.014,0.001,-0.005
-0.018,0.007,9.805,0.0,0.005,0.005
0.001,0.015,9.802,0.009,-0.004,-0.005
-0.002,0.002,9.811,0.001,0.027,0.006
0.0,0.0,9.811,0.014,0.001,0.002
-0.011,0.003,9.809,-0.002,-0.006,0.011
0.008,0.026,9.794,-0.009,0.003,-0.007
0.012,-0.014,9.814,0.005,-0.023,-0.01
-0.005,-0.003,10.485,0.026,0.004,-0.003
0.014,-0.006,11.072,-0.02,-0.019,0.004
-0.009,-0.009,11.531,0.037,0.018,0.007
0.015,-0.001,11.768,-0.017,0.0,-0.006
-0.013,-0.012,11.772,0.06,-0.0,-0.008
-0.004,-0.0,11.533,0.031,-0.034,0.004
0.008,-0.003,11.076,-0.031,-0.024,-0.015
-0.002,0.001,10.474,0.003,-0.026,0.012
-0.0,-0.016,-0.241,0.006,0.019,0.015
-0.02,0.003,8.929,0.023,0.026,-0.011
-0.019,0.026,8.234,0.023,-0.008,0.011
-0.013,0.004,7.866,-0.019,0.01,-0.01
-0.021,-0.001,7.864,-0.02,0.026,0.014
0.008,0.002,8.244,0.001,0.015,0.003
0.009,-0.006,8.933,0.011,-0.003,-0.007
-0.013,0.007,9.797,0.001,-0.005,-0.008
-0.006,0.023,9.79,0.0,-0.005,0.008
-0.005,-0.004,9.793,-0.001,0.009,-0.008
0.001,0.001,9.794,-0.002,-0.007,0.018
0.001,-0.018,9.799,0.0,-0.003,0.002
0.017,-0.014,9.807,-0.004,0.011,-0.009
0.005,0.026,9.788,0.009,-0.006,-0.003
-0.003,-0.004,9.809,0.005,-0.012,0.005
0.002,-0.008,9.826,-0.001,-0.01,-0.002
-0.01,0.025,9.814,-0.01,-0.025,-0.006
-0.019,0.017,9.792,0.002,-0.013,-0.003
0.004,0.008,9.804,-0.02,0.002,-0.001
-0.0,0.001,9.787,0.0,0.003,-0.009
0.001,0.004,9.791,-0.003,0.0,0.005
-0.011,-0.007,9.799,0.007,0.008,-0.002
0.01,-0.005,9.806,-0.0,-0.0,-0.0
0.005,-0.015,9.786,-0.006,-0.014,-0.0
0.014,-0.007,9.803,-0.008,0.019,0.015
-0.004,-0.005,9.803,-0.008,-0.012,-0.007
