acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.005,0.005,9.795,-0.012,0.001,-0.003
0.002,-0.003,9.797,0.002,0.019,0.003
-0.01,-0.007,9.803,-0.021,-0.0,0.002
-0.001,0.001,9.799,0.029,-0.004,-0.017
-0.008,0.007,9.791,0.002,-0.014,-0.005
-0.004,-0.001,9.801,-0.008,-0.004,0.01
0.007,-0.012,9.805,0.003,0.001,-0.001
-0.002,-0.009,9.81,0.007,-0.008,0.003
-0.0,-0.003,9.776,-0.002,0.002,-0.002
-0.006,0.008,9.785,0.004,0.004,0.016
0.009,0.013,9.775,-0.006,0.007,0.004
-0.012,-0.015,9.807,-0.006,0.019,-0.008
-0.01,-0.0,9.804,0.001,-0.013,-0.004
0.023,-0.002,9.806,0.008,0.006,-0.001
0.0,0.005,9.798,-0.012,0.008,0.012
-0.004,-0.007,9.798,0.017,0.002,-0.009
0.003,-0.009,9.812,0.015,-0.009,-0.006
0.001,-0.01,9.803,-0.001,0.015,-0.013
-0.013,-0.002,16.796,-0.014,-0.005,-0.016
-0.009,0.013,21.916,0.033,0.004,-0.015
-0.008,-0.007,23.823,-0.005,0.037,-0.005
-0.018,-0.001,21.919,0.035,-0.003,0.002
0.001,0.015,16.804,0.07,-0.009,0.016
0.003,-0.015,0.076,0.041,0.014,-0.004
0.002,-0.007,6.182,-0.01,0.002,-0.012
0.011,0.012,2.818,-0.019,-0.005,0.009
-0.002,-0.016,-0.102,0.006,-0.019,-0.005
0.008,0.007,-2.323,0.013,0.039,0.001
0.015,-0.024,-3.721,-0.012,-0.005,0.013
-0.009,-0.001,-4.212,-0.01,0.006,-0.009
0.021,-0.0,-3.71,0.008,-0.042,-0.001
-0.001,-0.01,-2.329,0.013,-0.008,0.004
-0.006,0.003,-0.079,-0.033,-0.002,-0.015
0.003,0.004,2.81,0.011,0.015,-0.011
0.007,0.0,6.167,-0.024,0.017,-0.011
-0.003,0.015,9.792,0.002,-0.005,0.001
0.001,-0.016,9.804,-0.01,-0.004,-0.003
0.003,-0.001,9.804,0.005,-0.017,0.003
-0.007,0.02,9.807,0.006,-0.002,0.015
-0.005,-0.002,9.817,-0.018,-0.002,0.016
-0.018,-0.002,9.811,-0.021,0.002,0.003
-0.0,-0.004,9.792,-0.004,-0.002,0.004
0.005,0.001,9.8,0.002,-0.019,-0.007
-0.02,0.007,9.78,-0.003,-0.007,0.0
0.011,-0.013,9.806,0.014,-0.005,-0.009
-0.015,0.001,9.803,0.006,0.009,-0.009
0.002,0.014,9.809,-0.009,-0.013,0.005
0.007,0.01,9.803,-0.016,0.007,-0.004
0.01,-0.015,9.805,0.01,0.002,0.01
0.016,-0.01,9.79,0.007,0.012,0.019
